asset,titulo_noticia,subtitulo,fonte,data
VALE3,"Governo quer que Vale (VALE3), Samarco e BHP desembolsem R$ 109 bilhões em dinheiro novo por desastre em Mariana","A proposta original dos governos era de R$ 126 bilhões, mas as autoridades concordaram em reduzir o valor para destravar as negociações com as mineradoras",https://www.seudinheiro.com/2024/empresas/governo-quer-que-vale-vale3-samarco-e-bhp-desembolsem-r-109-bilhoes-em-dinheiro-novo-por-desastre-em-mariana-miql/,2024-07-06
VALE3,Ibovespa opera em alta após decisão de juros na Europa; Vale (VALE3) e Petrobras (PETR4) sobem,NA,https://www.suno.com.br/noticias/ibovespa-abertura-060624/,2024-07-06
VALE3,"Vale (VALE3) 'está barata' e é a preferida do Santander, mas outras duas ações chamam a atenção do banco",Os papéis da mineradora estão negociados 30% abaixo da média dos seus pares; confira as companhias que tiveram as recomendações elevadas,https://www.seudinheiro.com/2024/bolsa-dolar/vale-vale3-esta-barata-e-e-a-preferida-do-santander-mas-outras-duas-acoes-chamam-a-atencao-do-banco-lils/,2024-07-06
VALE3,Ibovespa cai antes da decisão de juros do Fed; Vale (VALE3) sobe. Entenda,NA,https://bmcnews.com.br/2024/06/15/ibovespa-cai-antes-da-decisao-de-juros-do-fed-vale-vale3-sobe-entenda/,2024-06-15
VALE3,"VALE (VALE3): O EVENTO QUE PODE REDUZIR RISCO PARA A MINERADORA, SEGUNDO BBI","Nesta semana, a Vale (VALE3) confirmou a apresentação de uma nova proposta, junto com a BHP e Samarco, para reparação pelo rompimento da barragem de Mariana (MG).",https://economiaempauta.com/vale-vale3-o-evento-que-pode-reduzir-risco-para-a-mineradora-segundo-bbi/,2024-06-14
VALE3,Vale (VALE3) afirma que procura parceiros para plataforma de energia,NA,https://www.msn.com/pt-br/dinheiro/economia-e-negocios/vale-vale3-afirma-que-procura-parceiros-para-plataforma-de-energia/ar-BB1oenme,2024-06-14
VALE3,Vale (VALE3): CEO faz estimativa para vendas de minério de ferro e destaca transição energética,NA,"https://www.terra.com.br/amp/economia/vale-vale3-ceo-faz-estimativa-para-vendas-de-minerio-de-ferro-e-destaca-transicao-energetica,b187b32f3d8ef71ce6bc30f50dea50aedq813lhf.html",2024-06-13
VALE3,"VALE (VALE3): GOVERNO FEDERAL PODE CHEGAR A ACORDO SOBRE FERROVIAS ESTE MÊS, DIZ MINISTRO","um potencial acordo entre o governo brasileiro e a mineradora Vale (VALE3) relacionado a concessões ferroviárias está 'maduro' e poderá ser assinado ainda neste mês, disse o ministro dos Transportes,",https://economiaempauta.com/vale-vale3-governo-federal-pode-chegar-a-acordo-sobre-ferrovias-este-mes-diz-ministro/,2024-06-12
VALE3,Vale Indonesia diz que Febriany Eddy foi renomeada como CEO,Acionistas votaram por recondução nesta segunda-feira (10),https://www.infomoney.com.br/business/vale-indonesia-diz-que-febriany-eddy-foi-renomeada-como-ceo/,2024-06-10
VALE3,"O dólar já subiu 10% em 2024: essas são as 5 ações para lucrar com o real fraco, segundo o BTG Pactual",VALE3,NA,2024-06-13
VALE3,"'Mercado errou 100% dos anos', diz CFO da Vale (VALE3) sobre projeções para o minério de ferro","Gustavo Pimenta, CFO e RI da Vale (VALE3), acredita que demanda ainda será sustentada por China e outras economias emergentes",https://inteligenciafinanceira.com.br/mercado-financeiro/acoes/mercado-errou-100-por-cento-preco-minerio-de-ferro/,2024-06-07
